               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.023299,            0.037078,           0.0023468,             0.99322,             0.99555,             0.99573,             0.73474,            0.017933,            0.022258,           0.0015048,           0.0069948,           0.0069948,           0.0069948
                 128,            0.024291,             0.03682,           0.0025376,             0.99754,             0.99925,             0.99573,             0.74553,            0.018877,             0.02264,           0.0013506,           0.0069541,           0.0069541,           0.0069541
                 129,            0.024239,            0.038933,           0.0023673,             0.99519,             0.99888,             0.99575,             0.77223,            0.017351,            0.022108,           0.0013555,           0.0069134,           0.0069134,           0.0069134
                 130,            0.023133,            0.035903,           0.0025236,             0.99658,             0.99539,             0.99578,             0.77675,            0.016567,            0.021711,           0.0014655,           0.0068726,           0.0068726,           0.0068726
                 131,            0.023757,            0.035184,           0.0024752,             0.99645,             0.99695,             0.99575,              0.7046,            0.019874,            0.023189,           0.0014734,           0.0068316,           0.0068316,           0.0068316
                 132,            0.023823,            0.039394,           0.0025228,             0.99497,             0.99911,             0.99581,              0.7758,            0.017296,            0.022192,           0.0013778,           0.0067906,           0.0067906,           0.0067906
                 133,            0.023309,            0.039086,            0.002117,             0.99429,             0.99959,             0.99581,             0.75167,            0.016954,            0.021842,           0.0012285,           0.0067495,           0.0067495,           0.0067495
                 134,            0.023721,            0.036878,           0.0025049,             0.99328,             0.99572,             0.99583,             0.77651,            0.017752,            0.022708,           0.0013557,           0.0067083,           0.0067083,           0.0067083
                 135,            0.024701,            0.038368,           0.0022555,             0.99694,             0.99567,             0.99579,             0.75935,            0.018172,            0.022473,           0.0012649,           0.0066671,           0.0066671,           0.0066671
                 136,            0.023813,            0.038672,           0.0023759,             0.99727,             0.99893,             0.99581,             0.78003,            0.017567,            0.021997,           0.0012936,           0.0066257,           0.0066257,           0.0066257
                 137,            0.025458,            0.037919,           0.0026868,             0.99637,             0.99676,             0.99579,             0.73373,             0.02085,             0.02336,            0.001433,           0.0065843,           0.0065843,           0.0065843
                 138,             0.02508,             0.03793,           0.0024189,             0.98993,             0.99803,             0.99579,             0.76969,            0.016886,            0.022271,           0.0013434,           0.0065429,           0.0065429,           0.0065429
                 139,            0.022993,            0.036364,           0.0024275,             0.99774,             0.99625,             0.99578,             0.75214,             0.01827,            0.022698,           0.0013758,           0.0065013,           0.0065013,           0.0065013
                 140,            0.023606,            0.040156,           0.0024022,             0.99589,              0.9963,             0.99576,             0.77175,            0.016369,            0.021558,           0.0013868,           0.0064597,           0.0064597,           0.0064597
